,Sex,Age,Bodyweight,Squat,Bench,Deadlift
691708,M,44.5,121,250,160,250
2433533,M,63,93.55,190,103,251
204472,M,18.5,79.1,190,140,240
759762,M,20,98,210,130,250
711799,M,26.5,73.65,215,165,275
259373,M,53.5,73.55,190,130,190
367322,M,42,87.5,220,132.5,250
1086208,M,22,97.8,240,142.5,260
1180085,M,26,99.52,312.5,200,330
721058,M,37,88.25,265,160,285
2492431,M,34,55.2,175,95,210
1227492,M,36,96.2,207.5,152.5,227.5
2568573,M,29.5,141.75,225,155,235
137444,F,30.5,71.9,172.5,120,160
1653630,M,21.5,92,245,135,270
740627,M,26,63.7,135,90,180
1841818,M,38.5,109.3,322.5,200,305
1162373,M,16.5,75,130,90,165
554343,M,23,131.54,274.42,199.58,258.55
2041782,F,42,107.4,95,50,122.5
2198029,M,28,99.2,205,150,250
1665700,M,23,82.05,187.5,127.5,210
1613442,M,52,92,212.5,140,247.5
496109,M,23.5,81.1,115.7,102.1,161
693230,M,44.5,73.7,145,100,220
1202277,F,32,58.4,105,55,120
2789378,M,19,64.86,142.88,65.77,133.81
1659748,M,27,81.2,172.5,130,202.5
490998,M,15.5,81.1,102.5,67.5,142.5
1770504,M,33,98.6,227.5,150,272.5
2216490,M,61,67.5,160,98,197.5
1775638,F,35,49.8,140,70,147.5
1227582,F,25,65.09,87.5,37.5,100
25929,M,14.5,60,105,72.5,100
1764715,F,13,52.8,55,40,86
652770,M,60,89.81,195,130,235
2446147,M,18,67.5,160,122.5,190
289301,M,37,103.06,205,115,225
1684271,M,18,89.7,145,95,150
701737,M,21.5,82.55,200,112.5,235
285182,M,25.5,69.05,180,115,240
1905813,F,21.5,51.7,115,62.5,122.5
73889,M,46.5,95,225,170,220
2444424,M,25,88.8,255,170,280
2949953,M,18,62.87,158.76,77.11,174.63
1025578,M,16,72.8,125,105,145
2165013,F,48,81.9,155,77.5,170
2435919,M,28.5,92.15,215,142.5,305
2190745,M,51,108.14,142.5,102.5,230
1783764,F,57,71.85,140,100,155
1904460,M,20.5,72.05,160,120,180
2425908,M,31.5,104.44,272.5,140,290
2012845,F,18.5,65.1,130,70,170
1090221,F,17,75,172.5,80,167.5
394025,M,18.5,74.6,125,85,155
1113612,M,28.5,83,205,120,210
2138808,M,17,79.7,180,105,200
1803666,M,24.5,105.85,210,135,230
2423101,M,26.5,92.95,212.5,127.5,245
2412586,M,20,103.4,225,125,242.5
2396365,F,58.5,68.95,77.5,47.5,102.5
675700,F,21.5,54.3,90,60,125
2110215,M,22,97.98,217.5,142.5,272.5
2181607,F,39,89.1,90,45,120
